,p227,p359,p533,p149,p160,p2,p261,p486,p367,p455,p523,p276,p393,p385,p168,p75,p42,p416,p311,p316,p30,p494,p467,p376,p13,p256,p141,p262,p197,p52,p445,p291,p532,p55,p332,p214,p157,p428,p51,p457,p324,p409,p208,p340,p16,p54,p108,p460,p279,p358,p90,p357,p435,p405,p150
HALLMARK_NOTCH_SIGNALING,0.231186823305673,0.248003244234456,0.257504565311877,0.265993388156223,0.184754389100504,0.221040496087581,0.234088502228605,0.275719528106803,0.294197332203639,0.209240116783416,0.313779219353452,0.257266829315774,0.280410866923846,0.232583178377447,0.274347832436446,0.286474210479648,0.269641136047106,0.230768244508629,0.263754077539905,0.225900152225931,0.290296459703987,0.294098990674988,0.306452173928806,0.17276105853214,0.310991991308101,0.235040706483191,0.192428454520938,0.302594709501921,0.273482304224202,0.301573031904467,0.288693227316923,0.258882166906655,0.24416378765494,0.276138270512045,0.224894229842434,0.254395211372345,0.251812321769988,0.290640042149478,0.283962282366753,0.280280538186232,0.222211660076275,0.249867356081534,0.34572455300335,0.220116883872231,0.261292291965672,0.1876204520102,0.269503345730479,0.214461406509916,0.202101102459381,0.255741178076651,0.292020867150814,0.221051385429981,0.198005824157615,0.257449908288056,0.255408502700274
HALLMARK_ADIPOGENESIS,0.446953552019891,0.434851842556464,0.436945025565432,0.4555250288048,0.415261307317821,0.447477621483288,0.440078574208925,0.436871886441648,0.428763533277671,0.420919911030033,0.42707272382359,0.436515824646825,0.439629241510353,0.455917941446194,0.446501706196647,0.410848350784827,0.421522407673334,0.464116541206179,0.406990179719768,0.43777299751722,0.419032415166929,0.407299382883712,0.440808351079161,0.420184700216393,0.420053782643977,0.405231980612066,0.45793547207429,0.428389963249825,0.42985304968283,0.429996410039153,0.412944331407515,0.436958184838366,0.423940609906439,0.418505250987509,0.409658721585977,0.413487975665942,0.424931664068174,0.413082805879618,0.457485933738675,0.418694870517397,0.419445321433163,0.411140700840095,0.40778927406441,0.430813490361948,0.407874069668122,0.430508481448106,0.45597413923664,0.467619970510657,0.448903676709669,0.450943573435192,0.40076115283901,0.41676049431495,0.420898158391026,0.42250709266264,0.401412114815489
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.136726621638839,0.224640423348457,0.186864922140537,0.214767027255212,0.174756705955478,0.19966327398089,0.177090337773186,0.17921030852652,0.18598440208873,0.172821817686604,0.163728582907468,0.192012026932379,0.163309315651084,0.192057502596323,0.213983513162529,0.174593935374318,0.246975599871725,0.176247289816978,0.209094255084146,0.174251201344378,0.213726786668821,0.227698223102549,0.158728767419297,0.179847895296927,0.212373172174894,0.216730949377159,0.189037223179088,0.160480385730119,0.218167421189623,0.203161919165254,0.208378593836681,0.186271534291443,0.189087420543014,0.150938309982215,0.221751105094526,0.182562239390647,0.253471443170314,0.198984342471454,0.17656465707228,0.224523046435423,0.163470031026258,0.189092857365935,0.208188384342544,0.195556625422569,0.208908094587918,0.176884765210801,0.201934600014765,0.150889407641963,0.190129011892475,0.188609788834825,0.244635839945417,0.202117207368363,0.188808218567362,0.20722163114959,0.198343536926962
HALLMARK_ESTROGEN_RESPONSE_LATE,0.237334320313897,0.244432179913997,0.234420675868689,0.258541614863334,0.24014234630166,0.244233578578844,0.225896921161933,0.241382634279343,0.246144347629949,0.248170863958131,0.210821985597856,0.288012082072233,0.243912716704382,0.272269401089262,0.248036375573386,0.225845712873819,0.256990125799182,0.224456833783946,0.248187578773202,0.203447657813277,0.243078227001793,0.278029637732462,0.258996053422421,0.261203003024237,0.24381766222748,0.26340632442625,0.247290570383185,0.263107086754593,0.262057637671118,0.267752924903865,0.282882209204936,0.22943285338116,0.256558454954996,0.266279525257291,0.2468225503667,0.236375817354005,0.27215174985522,0.274183495086255,0.242666661435522,0.248119998658276,0.232736023988358,0.24310937799477,0.260077053090342,0.255615562477054,0.290425443544576,0.239907157092075,0.24617375212217,0.21306029459118,0.258695271763548,0.246597825173172,0.267295548357945,0.236403612237303,0.244899706380472,0.266118883319324,0.276999720374429
HALLMARK_ANDROGEN_RESPONSE,0.443443216888913,0.457514113260468,0.425843349329224,0.457538398097708,0.441199049251704,0.447059592687115,0.438622980806013,0.446027732823287,0.424096029650918,0.419904691824443,0.383153302252081,0.394154760337596,0.441522339326444,0.441827304197651,0.447703342461061,0.406972528981948,0.441940006142049,0.439159164568152,0.446008996054212,0.411114176738526,0.427120968265001,0.443017274755434,0.453903671219794,0.446666143716307,0.454974362326105,0.407741602042871,0.437201308851441,0.477476702373558,0.479754899748111,0.410488411058669,0.441255913400533,0.440505010062489,0.433510750830677,0.419691939718435,0.410815611050207,0.423186586906122,0.423418952208952,0.461244462550097,0.416151675335534,0.419803111529864,0.403640128318029,0.454370030472948,0.450270133423335,0.402327337280267,0.421345623651985,0.411164063627981,0.38652422701575,0.431499623808173,0.438477588522549,0.476489104458346,0.412583265191307,0.494225844505231,0.447617888235351,0.435388548866604,0.42076141130217
HALLMARK_MYOGENESIS,0.223952219577703,0.203266399966213,0.196447205298522,0.217371533544811,0.170868178385222,0.24721243855278,0.224725395953516,0.207670399558802,0.183330216393459,0.159492388871682,0.217328515940534,0.220516642000213,0.202835166302346,0.202362523192944,0.211042875212706,0.213902031711984,0.220649049608072,0.193146268945807,0.227792165494808,0.216776721886174,0.228816957800892,0.192384825106894,0.236119804136849,0.208701174776345,0.212220252348354,0.214609629706633,0.210858083162961,0.21632309463465,0.202275703633373,0.184327428219395,0.223660337970872,0.18063413007384,0.1730345818713,0.234885127044972,0.222869494791562,0.211041401955218,0.227961349708492,0.216570404951126,0.229500617539804,0.220028650508427,0.201807398030452,0.215267406520429,0.203834035651709,0.216143279877877,0.195748596490594,0.212848203360251,0.181049381573918,0.224571497371283,0.246319168229632,0.184140868773686,0.171972745940126,0.220494025671283,0.218014555539167,0.200466548669686,0.176234255789663
HALLMARK_PROTEIN_SECRETION,0.534851152025056,0.546592357636904,0.57534986428438,0.578185086182834,0.573419987796654,0.553389381426409,0.595389776794158,0.571285493506921,0.582466305706658,0.556328516186552,0.578637222708758,0.554889927353638,0.560181480080859,0.572497162742639,0.55776843885643,0.567928302668441,0.590014337612286,0.584717938592629,0.582408555967055,0.570847973158375,0.579474640796836,0.549645691010337,0.604483711218919,0.56406533794144,0.56951962648941,0.557053313533971,0.589731436648216,0.590276232890611,0.563242018192943,0.582944599228323,0.578842083932931,0.57103747857769,0.587038741701023,0.58126067959569,0.56220506403477,0.569061306930807,0.577582537726728,0.594540516039686,0.588649585337945,0.572943081559819,0.569862874627943,0.577387089836718,0.57438923341433,0.582454384638743,0.585276147245606,0.579989565845012,0.584596999689595,0.576722899375949,0.594710958880809,0.575852834706752,0.538372510937228,0.580691257260316,0.596054459252211,0.581649833883987,0.573308675995515
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.475015057164987,0.484099609667589,0.479423974855547,0.503219445799263,0.515033406649485,0.486426381984597,0.484298417170767,0.490801938923171,0.505112512422624,0.492531350356687,0.470921810720505,0.527417650289456,0.535121008070403,0.492616590154447,0.486325483545288,0.488304194074802,0.528327499026929,0.485423369335513,0.497256418843746,0.524473409443745,0.511485965145045,0.485959363319634,0.477529704623747,0.493133135651533,0.470086602686068,0.536411642756849,0.462943673369898,0.484905893827931,0.481052981404511,0.494535793240658,0.505788540119755,0.487012320553444,0.512949511190715,0.518696967532382,0.490948795023653,0.486165998608268,0.482535543676954,0.525626768964409,0.465758386931063,0.505541136945857,0.501080952352571,0.507777156217525,0.531630627087473,0.480559030558698,0.488400637603051,0.520414507034816,0.511377624750531,0.461171743384124,0.491016481562469,0.511215485308421,0.525833599306237,0.480268064379894,0.478642643386495,0.501604241842835,0.545564488329866
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.398956484459523,0.438804389258642,0.413491718482091,0.428106008445241,0.457452907997393,0.39974359940098,0.430272812716928,0.439299650205328,0.418526453235068,0.459320094738902,0.426915780501635,0.466753069755718,0.453813023909925,0.408593888967457,0.446812966659098,0.42567132935513,0.455998355673685,0.423076522343176,0.441068809834132,0.453819705713664,0.451996988675325,0.434906207367704,0.431809560329903,0.446343437430214,0.421413861139967,0.464124577340242,0.412766202307697,0.419635500570391,0.42314958926526,0.4507923552041,0.436962529240721,0.415808737289732,0.433085966534731,0.45142882777683,0.428671419885452,0.427718411909036,0.41945660051952,0.448015861439732,0.430434728776134,0.425421980772466,0.432791748603275,0.446896055136008,0.449827923159763,0.394854101699766,0.421983940250606,0.427915497752765,0.443832066202848,0.43347239594332,0.439514011199009,0.445108600269629,0.461337577239284,0.422664640027439,0.418654578242591,0.446288599191474,0.461379983524142
HALLMARK_APICAL_JUNCTION,0.339694686451259,0.347825255224643,0.335168159871592,0.369404869158405,0.339469432655586,0.351162381095652,0.362374935141097,0.297872170451846,0.355627620978663,0.333601713170261,0.356651233351252,0.328932689515403,0.294586801825852,0.349078606884512,0.319091885048889,0.332814565465021,0.334524363020425,0.304335472263877,0.286930011304324,0.316722636227844,0.340905744234422,0.35966496543403,0.324887325438419,0.307771894750626,0.341255501799117,0.336489456746954,0.335142543356852,0.357792723995354,0.3458293756147,0.337710391017835,0.364328799062845,0.333095582074331,0.371056619483867,0.33440591433312,0.347416581589079,0.340995935965416,0.313919389467467,0.318022840494378,0.324866350631567,0.334047338762184,0.343385716071074,0.299059934809089,0.352427219227584,0.340019340696467,0.310292061475643,0.35899192570985,0.32213686854696,0.34389969369791,0.325201506861453,0.35259730697028,0.33355832411616,0.329306073596398,0.35818644771624,0.359150550749413,0.345030869906158
HALLMARK_APICAL_SURFACE,0.0278133942503959,-0.0160209412592119,0.0271625179867984,0.0241403480339933,-0.0567928263224568,0.0278645479660861,0.0820957929836856,-0.0648344660355317,0.0476128315936543,0.0515224259968467,0.0649919875458617,-0.0206926749100045,0.0239275705649504,0.0119071363502925,-0.0130231133315577,0.0573630771942351,0.0363859099806911,0.0427870632244284,0.0218731283643277,0.0209237912833983,0.0107239634917715,-0.0429250217275764,-0.0391445282650704,-0.000828591564985987,0.0894583690710663,-0.0379401131822244,-0.0308477917701099,0.0176740579706887,0.0315794008050151,-0.0468785352288455,0.105745651827782,0.0641842101332469,-0.00772647478627026,-0.00125519803361676,0.100208618912209,-0.024282429523696,0.0320316337645916,-0.0250543706362592,-0.0321912661088084,0.00919896641061317,-0.0225939589608974,0.0114642028782952,0.101928718845506,-0.0344063499219088,0.132500865065138,0.0161371587051994,-0.0343170139074872,0.0649052906252437,0.034027300154964,-0.00199201939543979,0.0592017887738932,0.048417187513098,-0.0291204766032637,-0.00971867081897768,-0.0362061185658707
HALLMARK_HEDGEHOG_SIGNALING,0.113538915245678,0.163380385864874,0.0879319438370946,0.107276025820923,0.134455699338336,0.069785234487844,0.118356240438765,0.142255586006841,0.0636901473938803,0.126841365540502,0.0710324383033006,0.0298317423557731,0.106906852097332,0.104473044316125,0.0691632866865844,0.119541079976273,0.0403950204430907,0.119335926601658,0.0972291519522564,0.127068238227327,0.132089547388411,0.168699270868119,0.100579478911262,0.106068801294739,0.148801924961294,0.114322695688464,0.0800102018610526,0.0628874891621801,0.0919295259141043,0.109616345076523,0.107558015256303,0.10783029087704,0.112903484273305,0.0653865733551791,0.0858173595803429,0.13514479788657,0.0862681678908351,0.143468980358777,0.141388177084042,0.07328093448619,0.122807811939757,0.0869283560273631,0.0588694378729804,0.0718123029472799,0.0882115051781401,0.117427001324095,0.111432916317411,0.114215632900729,0.0671506921227051,0.0551036697835467,0.0881742343463465,0.156762616420394,0.151523850599983,0.197398597432951,0.0644837944860542
HALLMARK_COMPLEMENT,0.331354147287623,0.33726236309432,0.330531479804136,0.323180706793737,0.305645405962984,0.343033416374244,0.302882428591261,0.338001193938658,0.316079590145321,0.362764546099563,0.349191116023977,0.349119425641345,0.36367553722529,0.329234676825266,0.357306301464946,0.341619313175829,0.347767167228593,0.30997021024693,0.306808302113545,0.326703332031715,0.351219301220987,0.333816442146406,0.347642831841019,0.349435548412393,0.341572343740405,0.302913120392948,0.325707822704543,0.342786564357816,0.32007326409886,0.319248294630012,0.331529663952485,0.342073196236437,0.329460219091657,0.32901093787962,0.327574090334958,0.328773384203499,0.362697972408124,0.350095244522296,0.33763834367454,0.316277007080672,0.358411073654287,0.323328525747273,0.333578841998416,0.359800332606272,0.345416444933962,0.32868468022223,0.295836829738047,0.341388557525784,0.310321579407296,0.32506262116383,0.322644084030681,0.30147336762829,0.345093550380436,0.3594079386555,0.315049552043467
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.519842224027301,0.520167460974936,0.518625378640504,0.529789340827886,0.521663925183014,0.544087616209543,0.483534964513632,0.541677649088619,0.543348906831724,0.544893599014163,0.50418646013362,0.485907823131564,0.536235186496133,0.517559708823608,0.561118665794938,0.54249203250981,0.528216943272968,0.514591162738385,0.53116390206677,0.503838695570128,0.5299690134935,0.556634829415127,0.517293126573513,0.514192027605546,0.520244030394828,0.528526464277518,0.528880960555179,0.523313050236121,0.516377134309783,0.554390540289407,0.532823034380098,0.549190271491631,0.516696512770851,0.520855131723209,0.546587857261156,0.533989773241364,0.527384022749959,0.522571311659054,0.526318976624466,0.517175525427963,0.532908154530415,0.509278519887879,0.5298823882004,0.548733245852946,0.53469574684873,0.510628385402024,0.525496625110227,0.526681264428239,0.529477864728447,0.511034117165153,0.520643964171842,0.543223205094985,0.520201812064389,0.52405397652469,0.525051530755247
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.388941191286415,0.402059757784961,0.412582988737447,0.411899326741006,0.364769191305548,0.359002862903508,0.389906682511424,0.387402001777352,0.377286963306611,0.408072582230827,0.377259886814249,0.408227385059321,0.373081609171697,0.418709660227877,0.36385201598193,0.384935232747788,0.401489898601164,0.392804121201252,0.446554665472597,0.37853379798529,0.429857874037159,0.4187023651515,0.416761841656125,0.377219485424277,0.404069977566785,0.430252820371276,0.373748665142947,0.405001584534945,0.384625032120969,0.41102435436074,0.384180348856455,0.451033788616355,0.380961789312482,0.37963752196416,0.397837512987438,0.370569828718426,0.372160550479067,0.390056423021892,0.369457878539887,0.392754102887995,0.368653506764733,0.378830023196913,0.410977042392228,0.395660001255026,0.387885237428032,0.379993741554502,0.422613556461586,0.393008611681859,0.399003391821162,0.410123990588819,0.40882879160472,0.38955678498248,0.342771802115445,0.410484468118161,0.40737898716429
HALLMARK_MTORC1_SIGNALING,0.493341780581193,0.529896429382829,0.520769905172094,0.508538404333333,0.489706741339636,0.484615358929294,0.478121102181581,0.502656312224319,0.501574034534631,0.502993514514981,0.501184996496798,0.505880103604346,0.470985812073027,0.490038024964887,0.467022905820423,0.486356322332419,0.508074257084848,0.496981464039299,0.50689657217683,0.513968349950483,0.511297366371446,0.506849183995687,0.500827859399162,0.483434807745667,0.522323525265472,0.493135173969295,0.499185978855339,0.486039086609001,0.497257475484174,0.514614157792792,0.485108934200198,0.507834158400488,0.480900260253175,0.49120521447952,0.492479876090373,0.473416641853551,0.49290414917048,0.509804060664674,0.482488963272096,0.483466505794228,0.504269738655066,0.469493630005355,0.497301676117298,0.499591094627183,0.496151433392335,0.485345659444136,0.490163343695384,0.489036225007259,0.487486740496322,0.489794331692037,0.49105828367947,0.478908474131813,0.462175469968512,0.496109516632483,0.490922577148784
HALLMARK_E2F_TARGETS,0.376267625029389,0.394812096233626,0.410097099481888,0.411424879603994,0.396789815077907,0.408010060777535,0.417729363599403,0.397667495003857,0.405605191730218,0.383040544887317,0.421655314460424,0.382145850141395,0.374313036964843,0.403292105221409,0.367807853524673,0.403002431382137,0.38102361887012,0.402670674530396,0.41548030786875,0.383935417687061,0.388257824190787,0.373243596073083,0.394429737294618,0.416052456403732,0.410519897615873,0.395560168110194,0.40840516142833,0.384571912364766,0.394425161802508,0.375504894868664,0.39400253422236,0.422993615731509,0.393443058919494,0.39751562507851,0.39432253195558,0.394429069266579,0.392671132310756,0.413036494130499,0.374733083413553,0.370093257429258,0.390937906919998,0.381348188906551,0.386978426058371,0.37476190315643,0.376325306681134,0.389061813631474,0.410513439107147,0.374482037972654,0.404497116079445,0.413575692077915,0.414330446915843,0.398047089947514,0.394527769048325,0.396285651772903,0.389832917081928
HALLMARK_MYC_TARGETS_V1,0.698910687111436,0.715771611463239,0.71305326860585,0.709168057270354,0.685727223207052,0.715818606132759,0.719795777511173,0.709744063026457,0.69614713204488,0.700303239926104,0.705539022294857,0.71631186779352,0.712971055531586,0.724889855481808,0.692450503203333,0.729148419993985,0.699881662346958,0.694036852001949,0.721605854620121,0.689342950126536,0.707485258308505,0.701149147624713,0.718578501763603,0.712308914619983,0.719051267038661,0.700886473408372,0.722726799230673,0.695356282150256,0.705489875806869,0.705549926483625,0.706410232614297,0.721851814480566,0.711769167917058,0.697150655802669,0.697953966808049,0.702989512807021,0.711361204694854,0.711424268649681,0.720568959505027,0.707324003195666,0.709652211210242,0.725439405276103,0.694683238228777,0.698972778807226,0.703472961043541,0.695709409232395,0.715278262013494,0.713750928192696,0.713192390661062,0.728792478136898,0.702278500490956,0.711256677073087,0.708967779883937,0.71757838089036,0.695871479629556
HALLMARK_MYC_TARGETS_V2,0.327206171561011,0.35455590143414,0.400174440504848,0.395390503767781,0.346832933604934,0.374060506386161,0.380399978074813,0.353724553655055,0.3860951245091,0.370639587173846,0.347408234794769,0.325488955193964,0.354198190825062,0.350118606320969,0.32389674200452,0.385107809603676,0.401372315722897,0.368352931795684,0.402358236986915,0.336790245028335,0.358634852716808,0.343773325114491,0.389532761558592,0.379559158277805,0.376956822891031,0.383014071779001,0.354142627004776,0.351138676410108,0.383054020703243,0.364066328530169,0.341274403547876,0.406287999201645,0.39655442631081,0.3178296934286,0.392606372046502,0.348998002251697,0.344369353446211,0.373049682561037,0.354239708214479,0.348300447817037,0.347078954349063,0.410354444070266,0.378753137490626,0.387954744465671,0.357216688239444,0.344902559175375,0.366001685822151,0.364989441306127,0.380805363794366,0.349499623095636,0.339111557033059,0.343637722539877,0.363691730831928,0.387667528628646,0.359120561837487
