,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory.Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
p523,0,6.84054312677954e-05,0,0,0,0,0.000365672273918343,0,0,0,0.000123708318711745,0,2.84657669946046e-05,0.000211825722240656,0.000103809173836802,0.000516505549935361,2.76751320287095e-05,0,0,0.000193501036452393,0,3.17309126784542e-05
p276,0,0,0,9.72775190386963e-05,0,0,0,0,0,9.42440850724801e-05,0,0,0.000280481575224016,0.000175320027773259,0.000265635713165875,0.000315585100941128,0,0,2.98550666570014e-06,8.49555088941774e-05,0,1.38872770743369e-05
p393,5.03960769433306e-05,0,0,0,0,0,0,0.000116961368414816,0,0,0,5.75043632290398e-05,0,0.000715743427856882,6.80150766874289e-05,0.000168467684112378,0,0,9.11839509041028e-05,6.05038008952479e-05,4.32784140527214e-06,6.92728693715094e-05
p385,0,0,0,6.6184432960007e-05,0,0,0.00035209604336078,0.0001287521248176,0,0,0.000135012598965318,0,2.19428145679089e-05,0.000119058180404967,9.20214680265234e-05,0.000225258562291659,0.000194589548462156,0,1.43910659096808e-05,0,2.21120395966647e-05,5.80806490399925e-05
p168,0,2.484241260057e-05,0,0,0,0,0.000733923092222928,0,0,0,0,4.91613411814584e-05,5.44189390000136e-06,0.000151555552194381,3.79111641135741e-05,0.000586528758936745,0.00100234539149351,0,0,0.000219498919425468,0.000211641012786253,0.000179714148040163
p75,0,0,4.30275518899663e-06,0,0,2.76302020349e-05,0.000234245003254776,0,0,0,7.88605890296759e-05,0,0.000111151297222501,0.000532568373241278,4.44627618922917e-05,0.000603577395857402,0.000197525880199194,0,2.43407165160364e-05,0,0.000279624305641716,2.34437757606541e-05
p42,9.82465441940258e-05,0,0,0,0,0,0.000632996822306918,0,0,0,0,0,0.000131314772780665,0.00041320394060485,0.000195778227979563,0.000872506280599163,6.60990008579018e-05,3.58272427306684e-05,4.53233076986645e-05,0.000284122347028418,9.64345266932784e-05,0.000168548425158627
p416,0.000123743187102871,0,0,4.37208288968481e-05,0,8.34534482611611e-05,0.000899783257185576,0,0,0,0,0,0,0.000627667255596418,0,0.000419092501212053,0.000261683608785094,0.000158858496848597,0,0.000164019950581385,0.000103544162070152,9.77275053290735e-05
p311,2.62210995807536e-06,0,0,0,0,0,2.15948663365481e-05,8.1412827536132e-05,0,0,0.000121377325183786,0,0,0.000559182162546869,0.000241954574180355,0.000329790622084238,0,0.00021152476539009,0,0.000180198385103661,0,3.31644597774718e-05
p316,6.15273329077715e-05,0,0,7.3801768104191e-05,0,9.47851600596474e-05,0,0,0,0.000160953324924092,0,9.39525281313953e-05,2.86073121772173e-05,0.000544923070060422,5.53502035250638e-05,0.000359089011900541,0,0.000151727892569715,0,4.24377667827479e-05,0.000112396177738666,0.000106027982343663
p30,7.0738759392954e-05,0,0,5.92368842570949e-05,0,0,0.000595078659644495,0,0,8.27019648528271e-05,2.34129896595033e-05,0,4.69464941061772e-06,0.000608931063987888,0.000553450753870517,0.000405839548843865,1.64821024284579e-05,0,0,0.000227170686223481,0,3.57240041326404e-05
p494,3.30684106573233e-05,0,0,0,0,0,0.000777857869579168,0,0,0,0,0.000127155375362441,0.000140885972212729,0.000431135196831074,0.00033254138633568,0.000896513704633938,0.000230716943517498,2.60588081618992e-05,0,0.00013308664019745,0,2.06776042665112e-07
p467,0,2.76477741667591e-06,0,0,0,0.00014256108390005,0.000262658108134191,0.000120377374985901,0,4.54462656767744e-05,0,9.61342085670578e-05,7.29003742162765e-05,0.00103193330797907,0.000139664391490607,0.000636634964143404,0.000340185250661634,0,0,0.000212563560994866,5.28191060091247e-05,0.00013171486805376
p376,2.09574383338218e-07,0,8.19117663955425e-05,2.89268397135846e-05,0,0,0.000392425525291155,0,0,0.000131637657380164,0,0,1.6500104432745e-05,0.000349892168805343,0.000121778429914303,0.00110862242480926,0,0,0.000129683502740199,0,0,0
p13,0,0,0,0.000286499039782786,0,2.11108065447351e-05,0,7.38648687573104e-05,0,6.96044024951681e-05,0,2.15824850365734e-06,0.000161851954770786,6.11546620265609e-06,0.000319131481587942,0.000340352488855119,0.000116375108230753,0,0.000409919268029535,0,9.14118217326991e-05,0
p256,0,8.66986493833282e-06,0,0,0.000220592498939321,2.99102937901476e-05,8.62257393822813e-05,0,0,0,0,3.54425495932324e-05,0.000111004430245092,0.000438705062855538,0.000176298384109823,0.000637908525102256,0,0,3.11052007234776e-05,4.56698294764496e-05,9.00848156656093e-05,1.34976749813195e-05
p141,2.78087722826563e-05,0,0,0,0.000118489363042249,9.03373059573401e-05,0.000305491099439372,0,0,7.1850802785609e-05,0,0,5.58469552133238e-05,0.000491988079935998,4.65033352956771e-05,0.00069221450176142,1.00756402115149e-05,0,0,0,0,6.78623935670669e-05
p262,0,0,1.68744751118824e-05,0,0,3.26881193392973e-05,1.3762195083634e-05,0,0,5.2790014142739e-05,0,0,6.99654600169688e-06,0.000291752742892924,7.19376046908727e-05,0.000399314652217302,0.000274717498785003,2.01522752457088e-05,0,5.98254250694707e-05,0.000108331108043628,5.75891781784502e-05
p197,3.49132087239726e-05,0,0,9.45457567734794e-05,0,0.000136777658371542,0,0,0,0,2.12761480756012e-05,0,0.0001239283932318,0.000140444788214797,0.000127713752348149,7.85539160752908e-05,0.000170367720304881,0.000126059989323412,0,0.000124019866146461,6.89847022869222e-05,3.13644223538339e-05
p52,0.000112631885587078,0,0,0,0,5.12467876567504e-05,4.99370416394047e-05,0.00011062031501568,1.69979067782785e-05,4.07620875376026e-05,9.20715312252341e-05,0,0,0,0.000166090012285213,0.000252324239290637,0.00114050365300887,1.15996236866613e-05,0.000101754713453765,1.01485055698376e-05,6.87155839055001e-05,0
p445,5.24978775104949e-05,1.44685114611151e-05,0,0,8.30370761344037e-05,0.000248770394492089,0,0,0,0,0.000245531822620339,0,0,0.000652929154361852,0.000235286342265839,0.000689894272814281,0.000358273858846526,0,0,0.000276050365021884,0,0
p291,1.09547126873688e-05,0,0,2.95467887473486e-05,0,0.000213605154054677,0.000476285915454141,0,0,0,1.69929697604844e-05,0,7.55037374838752e-05,0.000564392207285692,0.000148242671684674,0.00127548625646683,0,3.35962718460357e-05,0,0.000100140024273434,0,0
p532,0,0,1.10212813211988e-05,0.000323431534241206,0,0,1.61651808834173e-05,3.58653709629821e-05,0,6.36494186459831e-05,4.91481411034598e-06,0,0.00011107305804403,0.000700418638756177,9.12767867969952e-05,0.000397827868339025,0.000270730587181258,0,0,0,0.000143932617741452,2.63100233710038e-07
p55,0,2.22813153019384e-05,1.68639884894397e-05,3.55097800766402e-05,0,0,0.000237861814901372,0,0,1.03184472745579e-05,3.80576489937805e-05,2.81104118708665e-05,0,0.000681831712724985,6.16080152897126e-06,0.000777352996571124,9.07186160052144e-05,8.69375883446929e-05,0,0.000131434777671165,0.000236749615688991,0
p332,0,0,0,0.000173453865970202,0,0,5.45403548540579e-05,0.000119287664639765,0,8.98920889503226e-05,0,0,0,0.000826692237078269,0.000143539810306691,0.00037597904865165,0.000244355677684971,8.51685562883255e-06,0,0.000148687647093397,0,9.95462633625273e-05
p214,0,8.1025594961027e-05,0,6.39712160174615e-05,0,0,2.44771758559017e-05,0,6.70452254821176e-05,0,0,0,0,3.66204294042731e-05,0.000236319544750498,0.000130656901922585,0.00126002075651025,0,5.91864130360595e-06,0.000109343854569016,2.45401148560635e-06,7.67302633122548e-05
p157,0,0,9.39132053652676e-06,2.18016980346217e-06,5.04068341743328e-05,0.000163270611029208,0.000146420329183535,0,0,0,0,5.39535235415857e-05,0.000262226488124161,7.59167648447724e-05,5.43649378505645e-05,0.000230597867538843,0.000125633084457735,0.000135553502213927,0,0.000128113501737895,0,1.23430266312923e-06
p428,0,0,0,0,0,0.000219691002818025,3.90919997747163e-05,5.33739854568345e-06,0,0.000296763375170929,0,0,0,5.70624857833844e-05,0.000163795440856192,0.000341738370009007,9.20965108547738e-05,0.000173577134267252,0.000215950952452027,0,0,4.07373466022116e-05
p51,0,8.45646038446993e-05,0,0,0,0,0.000253911962697476,3.4450289251671e-05,0,2.71589121054699e-05,1.27170357948744e-05,5.91982095053493e-05,0.000148465095575245,0.000498410452760386,0.000209683831321413,0,0,6.85546941407108e-05,0,0,1.24633747018334e-05,7.608613976652e-05
p457,0,2.27632472819939e-06,0,0,0,0,0.000205009537136514,0,0,0,0,5.9158756762903e-05,0,0.000442590816987708,3.01702909351804e-05,0.000682127779974171,0.000308349231417029,6.27785812113791e-05,7.90349232674058e-05,0,7.06442556689922e-05,0
p324,0,1.28144796795531e-06,3.16206347797259e-05,0,0,0.000121074824385382,0,0,0,0,5.4795059367439e-05,2.38292492254513e-05,0,0.00129202313306488,0.000103124252553762,0.000543691220205626,0,0,0,0.000201401626211098,0,0
p409,0,5.36333016418051e-05,0,1.8296671354035e-05,0,0,0.000377010728303177,4.83970888344283e-06,0,0,0,0,0,0.000296115425905082,0.000128064893551301,0.000336602823763444,0,9.06618603989928e-05,0,0.000127331575817374,1.41398836869599e-05,0.000151810654636142
p208,2.98233365569427e-05,0,0,0,0,0,0.000381098468801922,0,0,0,6.82790084815112e-05,3.10863743999866e-05,0,0.000453205723540734,5.0983317299339e-05,0.000639372121686874,2.01727156675588e-05,0,3.16219893483344e-05,9.07191645300689e-05,0,6.82699697162194e-05
p340,0,0.00012259779768326,9.04938478091882e-06,0,4.32971199797638e-05,0,0,0.000122192837173383,0,0,1.41555462602492e-05,0,0,0.000543102805737331,0,0.000358099602649089,5.23314011998586e-05,0.000297670664922749,0,6.03836382352687e-05,1.23375433523843e-05,0
p16,4.89060597094537e-05,0,0,0,0,0,0.000152379635483872,0,0,0,0.000112183100501065,7.05182374794934e-05,0.000172481401596752,0.000213995628991519,7.93926226615393e-05,0.000718736362328832,4.90225132290913e-05,0.00031023562637467,0,0.00015810780272639,6.03909562890152e-05,0.000102592852533459
p54,8.52508396898137e-05,0,1.17868526056165e-05,0,0,0,8.12737525235293e-05,6.60470150199518e-05,0,0,0,0.000163726974575579,0,0.00180156015109834,5.57723836725886e-05,0.000419429931510959,0,0,0,0.00029114986733722,0,0
p108,0,0,1.98370587150871e-05,7.39884566103613e-05,0,6.94373010336678e-05,7.99502624711538e-05,0,0,0,0,1.83528440333932e-05,9.49919964140057e-05,0.000179916652761348,7.61622702962532e-05,0.000535570608360376,0.00012389574232028,0,1.8093154494237e-05,0.000422983869303125,0.000140063620971941,4.77088687651843e-05
p460,0,2.30099435955307e-05,0,0,0,0,0.0001994288110072,2.23866518721222e-05,0,0,1.87684761928882e-05,0,0,0.000469664064421073,7.37861364243886e-05,0.000388273572727607,6.43528818275095e-05,0.000166139410028858,3.36997555770982e-05,0,0,1.4380982019174e-06
p279,7.04287598240277e-05,0,0,0.000219497945258926,0,0,0,0,0,0,0,0,0,0.000955297335977415,9.85035148773554e-05,0.000331428042744328,5.78180633381752e-05,0,1.62119300019981e-05,0,0.000155827435630547,0
p358,0,0,4.44033464645819e-05,0.000117808880951557,0.000190247613481953,0,7.41797832371652e-05,6.62630643248039e-05,0,9.79552075234421e-05,0.000126760593707933,0,0,0.00106522767046317,0.000218967548441725,0.000322868682960325,0.000181241338638184,0,0,0.000158463321140445,6.86177459285766e-06,0
p90,0,0,0,0.000254227862311618,0.000129907658374354,0,1.70132624734876e-05,0,0,0,0,0,0.000765357737255165,9.19978537942714e-05,5.81251101426706e-05,4.80194510781717e-05,0.000205877618425669,5.28482464449238e-05,0,8.34337353428006e-05,0,0
p357,0,2.24412927603498e-05,1.03915103197901e-05,0,2.18516129523442e-05,0,0,6.27189088406738e-05,0,0,7.8196294045694e-05,0,3.87020095276053e-05,0.000182513551021581,2.07910095645645e-05,0.00054745026860189,0.000273929398388204,0,0,8.61167248228296e-05,1.62275618779471e-05,0
p435,0.000111638895905678,0,0,0,0,0.000180184238300491,0.000223179318672651,0,0,0,0,0,5.03439370415731e-05,0.00064039708143188,0.000211621106132389,0.000501749039875538,0,0,0,4.91433493255414e-05,0.000104682732417748,0
p405,0,7.43808783220569e-06,5.32454083427086e-06,0,0,5.06403630461914e-05,0.00026714121045696,0,9.50753889391808e-05,0,0,2.61811594167186e-05,0,0.000276241969195514,8.7791577103549e-05,0.000964062097939698,3.30448965027432e-05,0,0,0,0,2.92212897616522e-05
p150,0,0,0,0.00021548217555927,0,0,0,0.000207273826118242,0,0.000162774897418239,0,0,3.38701421209453e-06,0.000568673936313713,0.000139071452335719,0.000633752720813757,0,0,8.00834081779299e-05,7.54026953866225e-05,0,6.53721969133811e-05
